2023-09-21/17:43:54		Error while creating table: 1051 (42S02): Unknown table 'training.good_raw_data' 
2023-09-21/17:49:20		Error while creating table: 1051 (42S02): Unknown table 'training.good_raw_data' 
2023-09-21/17:51:28		Error while creating table: 'MySQLConnection' object has no attribute 'execute' 
2023-09-21/17:53:27		Error while creating table: 1060 (42S21): Duplicate column name 'Wafer' 
2023-09-21/17:54:17		Error while creating table: 1060 (42S21): Duplicate column name 'Wafer' 
2023-09-21/17:55:30		Error while creating table: 1051 (42S02): Unknown table 'training.good_raw_data' 
2023-09-21/17:56:16		Error while creating table: 1060 (42S21): Duplicate column name 'Wafer' 
2023-09-21/18:01:07		Error while creating table: 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1 
2023-09-21/18:23:31		Error while creating table: 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1 
2023-09-21/18:25:33		Tables created successfully!!
2023-09-21/18:27:06		Tables created successfully!!
2023-09-21/18:29:07		Error while creating table: 1091 (42000): Can't DROP 'abc'; check that column/key exists 
2023-09-21/18:29:38		Error while creating table: 1091 (42000): Can't DROP 'abc'; check that column/key exists 
2023-09-21/18:30:50		Error while creating table: 1091 (42000): Can't DROP 'abc'; check that column/key exists 
2023-09-21/18:32:04		Error while creating table: 1091 (42000): Can't DROP 'abc'; check that column/key exists 
2023-09-21/18:33:33		Tables created successfully!!
2023-09-21/18:37:50		Tables created successfully!!
2023-09-22/14:10:05		Tables created successfully!!
2023-09-22/14:32:19		Tables created successfully!!
2023-09-22/14:35:22		Tables created successfully!!
2023-09-22/14:39:54		Tables created successfully!!
2023-09-22/14:41:38		Tables created successfully!!
2023-09-22/14:44:13		Tables created successfully!!
2023-09-22/18:57:15		Tables created successfully!!
2023-09-22/18:58:00		Tables created successfully!!
2023-09-22/19:05:17		Tables created successfully!!
2023-09-22/19:06:04		Tables created successfully!!
2023-09-22/19:21:01		Tables created successfully!!
2023-09-22/19:27:36		Tables created successfully!!
